,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
10965,2.63583629,0.65895907,11,['0011'],TRUE,0.40792766,5.84986218,3.89990812,2.24399475,2.01959528,"(1, -1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[4]
10966,2.63583629,0.65895907,1111,['1111'],TRUE,0.40792766,5.84986218,3.89990812,2.24399475,2.01959528,"(1, -1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0)",[4]
10967,3.15591697,0.78897924,111,"['0111', '0011']",TRUE,0.49266184,0.64998469,0.86664625,1.34639685,0.8975979,"(1, -1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[4, 4]"
10968,2.73500339,0.68375085,111,"['1111', '0011']",FALSE,0.35941815,0.43332312,0.86664625,1.12199738,0.67319843,"(1, -1, -1, -1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0)","[4, 4]"
10969,3.34064378,0.83516095,111,['0111'],TRUE,0.64929903,0.64998469,1.08330781,1.12199738,0.8975979,"(1, -1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",[4]
10970,2.73500339,0.68375085,111,"['1111', '0011']",FALSE,0.35941815,0.43332312,0.86664625,1.12199738,0.67319843,"(1, -1, -1, -1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[4, 4]"
10971,3.34064378,0.83516095,111,['0111'],TRUE,0.64929903,0.64998469,1.08330781,1.12199738,0.8975979,"(1, -1, -1, -1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",[4]
10972,2.53569829,0.63392457,11,['0011'],TRUE,0.31691846,5.63320062,1.51663094,2.46839423,2.46839423,"(1, -1, -1, -1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0)",[4]
10973,3.99413366,0.99853341,111,"['1111', '0111']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[4, 4]"
10974,2.53569829,0.63392457,11,['0011'],TRUE,0.31691846,5.63320062,1.51663094,2.46839423,2.46839423,"(1, -1, -1, -1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0)",[4]
10975,3.99413366,0.99853341,111,"['1111', '0111']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[4, 4]"
10976,3.99413366,0.99853341,111,"['0111', '0011']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[4, 4]"
10977,2.53569829,0.63392457,1111,['1111'],TRUE,0.31691846,5.63320062,1.51663094,2.46839423,2.46839423,"(1, -1, -1, -1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",[4]
10978,3.99413366,0.99853341,111,"['0111', '0011']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0)","[4, 4]"
10979,2.53569829,0.63392457,1111,['1111'],TRUE,0.31691846,5.63320062,1.51663094,2.46839423,2.46839423,"(1, -1, -1, -1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",[4]
10980,2.99414225,0.99804742,111,"['1110', '1101', '0111', '0010', '0001']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[3, 3, 3, 3, 3]"
10981,2.23983863,0.74661288,1111,"['1111', '0110', '0101', '0011']",TRUE,0.23979845,0.43332312,0.86664625,0.8975979,0.44879895,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[3, 3, 3, 3]"
10982,2.50560718,0.83520239,1111,"['1111', '0111', '0010', '0001']",TRUE,0.30269363,5.63320062,4.54989281,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[3, 3, 3, 3]"
10983,2.58316401,0.86105467,11,"['1110', '1101', '0110', '0101', '0011']",TRUE,0.29992384,5.41653906,4.54989281,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[3, 3, 3, 3, 3]"
10984,2.58316401,0.86105467,1111,"['1111', '0110', '0101', '0010', '0001']",TRUE,0.29992384,5.41653906,4.54989281,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0)","[3, 3, 3, 3, 3]"
10985,2.50560718,0.83520239,11,"['1110', '1101', '0111', '0011']",TRUE,0.30269363,5.63320062,4.54989281,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[3, 3, 3, 3]"
10986,2.58316401,0.86105467,110,"['1111', '1101', '0110', '0011', '0001']",TRUE,0.29992384,5.41653906,4.54989281,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0)","[3, 3, 3, 3, 3]"
10987,2.50560718,0.83520239,101,"['1110', '0111', '0101', '0010']",TRUE,0.30269363,5.63320062,4.54989281,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[3, 3, 3, 3]"
10988,2.58316401,0.86105467,101,"['1111', '1110', '0101', '0011', '0010']",TRUE,0.29992384,5.41653906,4.54989281,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[3, 3, 3, 3, 3]"
10989,2.50560718,0.83520239,110,"['1101', '0111', '0110', '0001']",TRUE,0.30269363,5.63320062,4.54989281,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0)","[3, 3, 3, 3]"
10990,2.55250442,0.85083481,11,"['1110', '0110', '0011', '0001']",TRUE,0.32112311,5.63320062,1.51663094,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0)","[3, 3, 3, 3]"
10991,2.99706468,0.99902156,111,"['1111', '1101', '0111', '0101', '0010']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[3, 3, 3, 3, 3]"
10992,2.55250442,0.85083481,11,"['1101', '0101', '0011', '0010']",TRUE,0.32112311,5.63320062,1.51663094,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0)","[3, 3, 3, 3]"
10993,2.99706468,0.99902156,111,"['1111', '1110', '0111', '0110', '0001']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[3, 3, 3, 3, 3]"
10994,2.99706468,0.99902156,111,"['1110', '0111', '0101', '0011', '0001']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3, 3, 3]"
10995,2.55250442,0.85083481,1111,"['1111', '1101', '0110', '0010']",TRUE,0.32112311,5.63320062,1.51663094,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3, 3]"
10996,2.99706468,0.99902156,111,"['1101', '0111', '0110', '0011', '0010']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3, 3, 3]"
10997,2.55250442,0.85083481,1111,"['1111', '1110', '0101', '0001']",TRUE,0.32112311,5.63320062,1.51663094,2.46839423,2.6927937,"(1, -1, -1, -1, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3, 3]"
10998,4.9882802,0.99765604,111,['0111'],TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1)",[5]
10999,3.14684523,0.62936905,1111,"['1111', '0011']",TRUE,0.27503571,2.81660031,3.68324656,1.34639685,0.67319843,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[5, 5]"
11000,3.82719889,0.76543978,111,"['1111', '0111']",TRUE,0.4741002,0.64998469,0.86664625,1.34639685,0.8975979,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[5, 5]"
11001,2.87316029,0.57463206,111,['0011'],FALSE,0.33145094,0.43332312,0.86664625,1.12199738,0.67319843,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[5]
11002,2.87316029,0.57463206,111,['1111'],FALSE,0.33145094,0.43332312,0.86664625,1.12199738,0.67319843,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0)",[5]
11003,3.82719889,0.76543978,111,"['0111', '0011']",TRUE,0.4741002,0.64998469,0.86664625,1.34639685,0.8975979,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[5, 5]"
11004,3.2851342,0.65702684,111,"['1111', '0011']",FALSE,0.34325711,0.43332312,0.64998469,1.12199738,0.67319843,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0)","[5, 5]"
11005,3.61857776,0.72371555,111,['0111'],TRUE,0.46968715,0.43332312,0.86664625,1.12199738,0.8975979,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0)",[5]
11006,3.2851342,0.65702684,111,"['1111', '0011']",FALSE,0.34325711,0.43332312,0.64998469,1.12199738,0.67319843,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[5, 5]"
11007,3.61857776,0.72371555,111,['0111'],TRUE,0.46968715,0.43332312,0.86664625,1.12199738,0.8975979,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",[5]
11008,3.08407455,0.61681491,111,['0011'],FALSE,0.36664663,0.43332312,0.86664625,1.34639685,0.67319843,"(1, -1, -1, -1, 1, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0)",[5]
11009,4.99120263,0.99824053,111,"['1111', '0111']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[5, 5]"
11010,3.08407455,0.61681491,111,['0011'],FALSE,0.36664663,0.43332312,0.86664625,1.34639685,0.67319843,"(1, -1, -1, -1, 1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0)",[5]
11011,4.99120263,0.99824053,111,"['1111', '0111']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[5, 5]"
11012,4.99120263,0.99824053,111,"['0111', '0011']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[5, 5]"
11013,3.08407455,0.61681491,111,['1111'],FALSE,0.36664663,0.43332312,0.86664625,1.34639685,0.67319843,"(1, -1, -1, -1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",[5]
11014,4.99120263,0.99824053,111,"['0111', '0011']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, -1, 1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0)","[5, 5]"
