,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
0,0.973498096,0.973498096,1011,"['1110', '1101', '1011', '1000', '0111', '0100', '0010', '0001']",TRUE,0.22458847,1.516630936,,2.019595277,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[1, 1, 1, 1, 1, 1, 1, 1]"
1,0.973498096,0.973498096,1100,"['1111', '1100', '1010', '1001', '0110', '0101', '0011', '0000']",TRUE,0.22458847,1.516630936,,2.019595277,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[1, 1, 1, 1, 1, 1, 1, 1]"
2,0.998533414,0.998533414,1,"['1111', '1100', '1010', '1001', '0111', '0100', '0010', '0001']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
3,0.998533414,0.998533414,0,"['1110', '1101', '1011', '1000', '0110', '0101', '0011', '0000']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
4,0.998533414,0.998533414,1,"['1111', '1100', '1011', '1000', '0110', '0101', '0010', '0001']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
5,0.998533414,0.998533414,0,"['1110', '1101', '1010', '1001', '0111', '0100', '0011', '0000']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
6,0.998533414,0.998533414,1,"['1111', '1101', '1010', '1000', '0110', '0100', '0011', '0001']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
7,0.998533414,0.998533414,0,"['1110', '1100', '1011', '1001', '0111', '0101', '0010', '0000']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
8,0.998533414,0.998533414,10,"['1111', '1110', '1001', '1000', '0101', '0100', '0011', '0010']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
9,0.998533414,0.998533414,0,"['1101', '1100', '1011', '1010', '0111', '0110', '0001', '0000']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
10,0.973498096,0.973498096,11,"['1110', '1100', '1011', '1001', '0110', '0100', '0011', '0001']",TRUE,0.22458847,1.516630936,,0.897597901,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
11,0.973498096,0.973498096,0,"['1111', '1101', '1010', '1000', '0111', '0101', '0010', '0000']",TRUE,0.22458847,1.516630936,,0.897597901,,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
12,0.973498096,0.973498096,11,"['1101', '1100', '1011', '1010', '0101', '0100', '0011', '0010']",TRUE,0.22458847,1.516630936,,0.897597901,,"(0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
13,0.973498096,0.973498096,0,"['1111', '1110', '1001', '1000', '0111', '0110', '0001', '0000']",TRUE,0.22458847,1.516630936,,0.897597901,,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
14,0.973498096,0.973498096,11,"['1110', '1100', '1010', '1000', '0111', '0101', '0011', '0001']",TRUE,0.22458847,1.516630936,,0.897597901,,"(0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
15,0.973498096,0.973498096,0,"['1111', '1101', '1011', '1001', '0110', '0100', '0010', '0000']",TRUE,0.22458847,1.516630936,,0.897597901,,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
16,0.973498096,0.973498096,11,"['1101', '1100', '1001', '1000', '0111', '0110', '0011', '0010']",TRUE,0.22458847,1.516630936,,0.897597901,,"(0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
17,0.973498096,0.973498096,0,"['1111', '1110', '1011', '1010', '0101', '0100', '0001', '0000']",TRUE,0.22458847,1.516630936,,0.897597901,,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
18,0.997813732,0.498906866,1,"['1110', '1101', '0010', '0001']",TRUE,0.128115949,0.866646249,,0.448798951,,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[2, 2, 2, 2]"
19,0.997813732,0.498906866,101,"['1010', '1001', '0110', '0101']",TRUE,0.128115949,0.866646249,,0.448798951,,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[2, 2, 2, 2]"
20,0.998533414,0.499266707,1,"['1010', '1001', '0010', '0001']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[2, 2, 2, 2]"
21,0.998533414,0.499266707,0,"['1110', '1101', '0110', '0101']",FALSE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[2, 2, 2, 2]"
22,0.998533414,0.499266707,1,"['0110', '0101', '0010', '0001']",TRUE,0.247826613,4.766554371,,1.570796327,,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0)","[2, 2, 2, 2]"
