,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
9341,2.60992898,0.86997633,1011,"['1011', '0111', '0100']",TRUE,0.41131381,0.68501226,1.41790849,0.76802537,0.49466214,"(1, 0, -1, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3]"
9342,2.22818513,0.55704628,10,['0010'],TRUE,0.27706359,0.59203002,0.89394946,0.89590108,0.66153461,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1)",[4]
9343,2.22818513,0.55704628,11,['0011'],TRUE,0.27706375,0.59202944,0.89394916,0.89590093,0.6615365,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",[4]
9344,2.47839011,0.61959753,10,['0010'],TRUE,0.34277525,0.63010805,1.08756764,1.17980564,0.73456251,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0)",[4]
9345,2.47839011,0.61959753,11,['0011'],TRUE,0.34277534,0.63010834,1.0875666,1.17980634,0.73456305,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[4]
9346,2.31374271,0.57843568,10,['0010'],TRUE,0.28851612,0.61610122,1.01712436,1.02944772,0.67488176,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0)",[4]
9347,2.31374271,0.57843568,11,['0011'],TRUE,0.28851605,0.61609997,1.01712208,1.02945113,0.67488074,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",[4]
9348,2.6917081,0.67292702,11,['0011'],TRUE,0.43673304,0.78090141,1.18476526,1.02391571,0.79859413,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0)",[4]
9349,2.6917081,0.67292702,10,['0010'],TRUE,0.43673356,0.78090498,1.18476346,1.02391639,0.79859768,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",[4]
9350,2.78439849,0.69609962,10,"['0011', '0010']",TRUE,0.33180759,0.62212396,0.9361095,1.20295803,0.77074558,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[4, 4]"
9351,1.75018806,0.87509403,10,"['0111', '0110', '0011', '0010', '0001', '0000']",TRUE,0.26823666,0.59590046,0.97740166,1.11618812,0.86698687,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)","[2, 2, 2, 2, 2, 2]"
9352,2.91682722,0.7292068,11,['0011'],TRUE,0.51535035,0.73868569,1.33315542,1.33315494,0.73868572,"(1, 0, -1, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0)",[4]
9353,2.91682722,0.7292068,10,['0010'],TRUE,0.51535058,0.73868733,1.33315699,1.33315482,0.73868631,"(1, 0, -1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",[4]
9354,3.16312734,0.79078184,10,"['0011', '0010']",TRUE,0.43693403,0.73828701,1.17241794,1.55114251,1.03358225,"(1, 0, -1, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0)","[4, 4]"
9355,1.99999999,1,10,"['1111', '1110', '0111', '0110', '0011', '0010', '0001', '0000']",TRUE,0.49973154,5.49362338,0.78117093,3.14159077,1.57919731,"(1, 0, -1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2, 2, 2, 2, 2]"
9356,2.87194149,0.71798537,11,['0011'],TRUE,0.52270553,2.34360222,5.06672249,0.96224364,0.63018643,"(1, 0, -1, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0)",[4]
9357,2.87194149,0.71798537,10,['0010'],TRUE,0.52270518,2.34360106,5.06672281,0.96223906,0.63018272,"(1, 0, -1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",[4]
9358,3.04146557,0.76036639,11,"['0011', '0010']",TRUE,0.38452144,0.65352746,0.93352924,1.52887502,0.98930899,"(1, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0)","[4, 4]"
9359,1.71648319,0.85824159,10,"['1111', '1110', '0011', '0010', '0001', '0000']",TRUE,0.22960074,0.62932431,1.28129305,0.94690003,0.4170835,"(1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2, 2, 2]"
9360,2.84920325,0.56984065,10,['0010'],TRUE,0.29309143,0.48966589,0.77596066,0.8948739,0.5633405,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1)",[5]
9361,2.30516733,0.76838911,10,"['0110', '0011', '0010']",TRUE,0.3081071,2.52233249,4.15445433,2.0748306,0.79996318,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[3, 3, 3]"
9362,2.94057119,0.58811424,10,['0010'],TRUE,0.34509455,0.60838582,1.05790807,1.09988746,0.72800403,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0)",[5]
9363,2.43329287,0.81109762,10,"['1110', '0110', '0011', '0010']",TRUE,0.286805,0.50431035,0.96023906,1.13309871,0.62422151,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[3, 3, 3, 3]"
9364,2.89658368,0.57931674,10,['0010'],TRUE,0.29202251,0.55750126,0.92100604,1.11926085,0.67198369,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0)",[5]
